SEASON,TEAM,TEAM_ID,PLAYOFF_RESULT,PLAYOFF_LABEL,TEAM_W_PCT,TEAM_PTS,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_FG_PCT,TEAM_FG3_PCT,TEAM_FT_PCT,TEAM_PLUS_MINUS,TEAM_W,TEAM_L,TEAM_E_OFF_RATING,TEAM_E_DEF_RATING,TEAM_E_NET_RATING,TEAM_E_PACE,CONF_STRENGTH,ROSTER_CONTINUITY,P1_PTS,P1_REB,P1_AST,P1_STL,P1_BLK,P1_TOV,P1_FG_PCT,P1_FG3_PCT,P1_FT_PCT,P1_MIN,P1_PER_APPROX,P2_PTS,P2_REB,P2_AST,P2_STL,P2_BLK,P2_TOV,P2_FG_PCT,P2_FG3_PCT,P2_FT_PCT,P2_MIN,P2_PER_APPROX,P3_PTS,P3_REB,P3_AST,P3_STL,P3_BLK,P3_TOV,P3_FG_PCT,P3_FG3_PCT,P3_FT_PCT,P3_MIN,P3_PER_APPROX,P4_PTS,P4_REB,P4_AST,P4_STL,P4_BLK,P4_TOV,P4_FG_PCT,P4_FG3_PCT,P4_FT_PCT,P4_MIN,P4_PER_APPROX,P5_PTS,P5_REB,P5_AST,P5_STL,P5_BLK,P5_TOV,P5_FG_PCT,P5_FG3_PCT,P5_FT_PCT,P5_MIN,P5_PER_APPROX,P6_PTS,P6_REB,P6_AST,P6_STL,P6_BLK,P6_TOV,P6_FG_PCT,P6_FG3_PCT,P6_FT_PCT,P6_MIN,P6_PER_APPROX,P7_PTS,P7_REB,P7_AST,P7_STL,P7_BLK,P7_TOV,P7_FG_PCT,P7_FG3_PCT,P7_FT_PCT,P7_MIN,P7_PER_APPROX,P8_PTS,P8_REB,P8_AST,P8_STL,P8_BLK,P8_TOV,P8_FG_PCT,P8_FG3_PCT,P8_FT_PCT,P8_MIN,P8_PER_APPROX
2003-04,ATL,1610612737,0,Missed Playoffs,0.34,88.9,42.8,19.7,7.2,5.5,17.3,0.437,0.315,0.768,-5.1,18.0,35.0,95.2,100.8,-5.6,92.8,0.4461428571428571,0.5,15.7,4.1,5.1,1.4,0.2,2.9,0.429,0.338,0.82,35.6,0.6629213483146067,14.8,4.1,2.8,1.5,0.2,2.6,0.417,0.31,0.738,35.1,0.5925925925925924,4.0,4.3,2.4,0.7,0.4,2.0,0.409,0.133,0.581,24.4,0.40163934426229514,4.6,2.0,3.2,0.6,0.0,1.4,0.413,0.2,0.782,20.8,0.43269230769230765,6.1,1.9,1.2,0.3,0.2,0.7,0.411,0.395,0.758,18.5,0.4864864864864865,3.6,2.0,1.6,0.6,0.2,0.7,0.401,0.229,0.738,13.3,0.5488721804511277,4.0,3.5,0.3,0.2,0.3,0.5,0.476,0.0,0.667,11.3,0.6902654867256638,3.1,2.3,0.2,0.2,0.4,0.6,0.407,0.0,0.786,10.4,0.5384615384615385
2003-04,BOS,1610612738,1,First Round Exit,0.426,94.3,40.5,21.1,9.3,4.3,16.6,0.44,0.356,0.755,-1.2,23.0,31.0,99.0,99.0,0.0,95.7,0.4461428571428571,0.5,23.0,6.6,5.2,1.7,0.7,4.1,0.404,0.32,0.838,38.4,0.861979166666667,13.5,4.9,3.5,1.1,0.3,2.6,0.445,0.337,0.683,31.0,0.667741935483871,8.6,5.6,1.0,0.8,1.3,1.6,0.57,0.0,0.735,27.1,0.5793357933579336,9.1,3.4,2.4,1.4,0.1,1.6,0.43,0.421,0.746,26.3,0.5627376425855514,7.6,3.2,1.6,0.9,0.3,1.1,0.4,0.395,0.723,22.8,0.5482456140350878,7.8,4.6,1.4,0.5,0.8,0.6,0.46,0.2,0.769,19.4,0.7474226804123711,6.3,1.3,2.4,0.5,0.0,1.3,0.386,0.325,0.725,18.6,0.49462365591397844,6.7,6.0,0.3,0.5,0.9,1.3,0.49,0.0,0.67,18.4,0.7119565217391305
2003-04,CHI,1610612741,0,Missed Playoffs,0.283,89.8,42.8,22.6,8.4,4.2,16.5,0.422,0.341,0.733,-6.2,15.0,38.0,94.6,101.2,-6.6,94.5,0.4461428571428571,0.5,17.1,3.3,5.4,1.5,0.3,2.4,0.394,0.321,0.839,34.8,0.724137931034483,10.8,3.1,6.1,1.3,0.2,2.8,0.394,0.382,0.755,34.3,0.5451895043731778,8.8,8.9,1.6,0.4,0.7,1.6,0.402,0.0,0.77,32.0,0.5875,13.6,5.9,0.9,0.2,0.9,2.4,0.516,0.0,0.691,27.8,0.6870503597122302,6.8,7.9,1.2,1.5,0.2,1.2,0.467,0.0,0.688,26.3,0.6235741444866919,10.2,3.4,1.9,1.2,0.3,1.5,0.406,0.265,0.781,26.3,0.5893536121673003,9.7,8.6,0.9,0.6,1.0,1.3,0.495,0.0,0.735,24.4,0.7991803278688524,6.8,2.1,1.1,0.6,0.2,0.9,0.5,0.0,0.639,20.0,0.49499999999999994
2003-04,CLE,1610612739,0,Missed Playoffs,0.377,91.8,46.7,21.7,7.0,6.5,15.2,0.426,0.303,0.745,-3.3,20.0,33.0,97.0,100.5,-3.5,93.6,0.4461428571428571,0.5,20.4,5.7,5.8,1.5,0.7,3.7,0.405,0.285,0.761,40.0,0.76,14.6,11.0,2.2,1.1,0.8,1.8,0.513,0.167,0.756,34.6,0.8063583815028902,11.3,2.6,5.3,0.9,0.1,1.7,0.448,0.306,0.788,32.9,0.5623100303951368,14.2,8.2,1.4,0.4,2.2,1.9,0.471,0.5,0.717,30.4,0.8059210526315789,11.7,4.2,1.8,1.1,0.1,1.3,0.409,0.3,0.765,27.8,0.6330935251798562,5.8,5.3,0.8,0.4,0.9,1.0,0.457,0.25,0.735,21.8,0.5596330275229358,4.3,2.6,1.3,0.5,0.2,0.7,0.387,0.133,0.719,20.3,0.40394088669950745,5.3,3.0,1.3,0.7,0.1,0.6,0.437,0.366,0.684,19.2,0.5104166666666667
2003-04,DAL,1610612742,1,First Round Exit,0.635,103.4,45.2,23.4,7.6,5.0,12.2,0.45,0.337,0.787,3.5,33.0,19.0,108.2,103.8,4.4,95.1,0.5523333333333333,0.5,18.9,5.0,2.9,1.1,0.5,1.1,0.443,0.412,0.851,40.0,0.6824999999999999,21.5,8.8,2.8,1.1,1.3,2.0,0.455,0.338,0.858,38.6,0.8678756476683938,15.5,9.0,5.2,0.7,0.8,2.6,0.423,0.266,0.508,37.5,0.7626666666666666,14.4,3.1,8.2,0.9,0.1,2.6,0.444,0.379,0.913,33.6,0.7172619047619047,14.9,6.3,0.9,1.0,0.4,0.9,0.526,0.333,0.754,29.3,0.7713310580204777,8.4,5.6,1.4,1.1,0.9,1.0,0.439,0.257,0.697,23.0,0.7130434782608696,6.6,2.0,0.8,0.8,0.2,0.6,0.398,0.323,0.857,16.5,0.593939393939394,6.4,4.1,0.4,0.9,0.5,0.4,0.504,1.0,0.6,15.8,0.7531645569620253
2003-04,DEN,1610612743,1,First Round Exit,0.574,97.1,42.6,22.1,9.4,6.8,16.1,0.442,0.344,0.773,1.8,31.0,23.0,100.5,98.5,2.0,96.5,0.5523333333333333,0.5,19.4,6.2,2.7,1.3,0.6,2.9,0.422,0.324,0.752,35.9,0.7604456824512535,15.6,4.4,6.4,1.7,0.3,2.7,0.468,0.192,0.855,34.6,0.7427745664739884,11.5,6.5,2.2,1.4,0.6,2.5,0.53,0.0,0.699,32.7,0.602446483180428,15.8,3.0,2.2,0.9,0.1,1.7,0.434,0.393,0.817,32.5,0.6246153846153847,8.0,10.1,1.6,1.3,2.5,1.4,0.446,0.0,0.707,28.3,0.7809187279151945,10.6,1.6,3.8,0.5,0.0,1.4,0.42,0.306,0.892,23.3,0.648068669527897,6.4,2.1,2.3,1.2,0.1,0.8,0.396,0.382,0.925,20.1,0.562189054726368,3.5,4.2,0.6,0.6,1.7,0.7,0.437,0.0,0.593,14.9,0.6644295302013423
2003-04,DET,1610612765,5,Champion,0.611,89.5,43.2,19.3,7.4,6.6,15.5,0.428,0.34,0.767,3.0,33.0,21.0,98.1,95.2,3.0,90.3,0.4461428571428571,0.5,9.7,13.2,1.9,1.8,3.0,1.5,0.419,0.2,0.513,39.7,0.7078085642317379,17.0,6.6,2.5,0.8,1.6,1.9,0.442,0.341,0.742,37.3,0.7131367292225202,18.1,3.7,3.7,1.2,0.2,2.7,0.442,0.171,0.869,36.9,0.6558265582655827,17.6,3.4,5.1,1.1,0.1,2.6,0.383,0.421,0.892,36.1,0.6842105263157895,10.2,5.1,2.4,0.9,0.9,1.6,0.456,0.321,0.75,34.5,0.5188405797101447,10.7,3.2,4.5,1.3,0.0,1.5,0.416,0.381,0.8,30.7,0.5928338762214984,10.1,6.6,1.0,0.5,1.0,1.5,0.456,0.313,0.784,23.7,0.7468354430379747,8.9,3.2,0.7,0.3,0.3,1.3,0.477,0.0,0.764,19.4,0.6237113402061857
2003-04,GSW,1610612744,0,Missed Playoffs,0.451,94.3,42.9,20.9,7.4,4.5,14.7,0.445,0.344,0.727,-0.8,23.0,28.0,100.6,101.5,-1.0,92.6,0.5523333333333333,0.5,18.3,6.4,2.4,1.1,0.5,2.2,0.45,0.307,0.68,37.2,0.7123655913978495,11.9,4.3,3.1,0.9,1.1,1.9,0.4,0.363,0.695,34.3,0.5655976676384841,13.1,2.6,5.7,0.5,0.0,2.1,0.394,0.315,0.687,33.1,0.5981873111782476,11.9,11.6,0.7,0.5,1.7,2.0,0.517,0.0,0.636,32.3,0.7554179566563468,12.1,6.3,2.7,0.9,0.2,1.7,0.448,0.39,0.731,31.1,0.6591639871382635,8.5,3.7,1.8,0.8,0.1,1.2,0.49,0.0,0.636,27.3,0.5018315018315018,10.1,2.6,4.4,1.6,0.1,1.8,0.434,0.182,0.798,26.4,0.6439393939393941,10.3,4.5,1.4,1.0,0.3,1.3,0.494,0.418,0.876,22.3,0.726457399103139
2003-04,HOU,1610612745,1,First Round Exit,0.577,87.3,43.1,18.4,6.5,5.5,16.4,0.436,0.365,0.761,3.0,30.0,22.0,97.4,93.6,3.8,89.2,0.5523333333333333,0.5,16.9,5.5,5.9,1.4,0.5,3.6,0.403,0.3,0.765,40.0,0.6649999999999998,15.4,4.4,3.4,1.4,0.4,2.1,0.419,0.382,0.809,39.7,0.5768261964735515,12.0,6.3,2.7,1.1,0.3,2.1,0.418,0.398,0.803,38.0,0.5342105263157895,16.5,9.0,1.5,0.3,1.7,2.4,0.527,0.0,0.775,32.5,0.8184615384615385,11.9,5.6,1.3,0.6,0.7,1.9,0.484,0.0,0.726,28.0,0.6500000000000001,6.1,7.3,0.9,0.8,1.5,1.4,0.44,0.0,0.648,26.8,0.5671641791044776,4.9,1.6,0.5,0.4,0.1,0.7,0.346,0.354,0.929,17.0,0.39999999999999997,1.5,1.3,3.5,0.3,0.0,0.9,0.241,0.0,0.667,14.6,0.39041095890410954
2003-04,IND,1610612754,3,Conference Finals,0.736,89.9,42.2,20.9,8.7,5.3,14.4,0.428,0.346,0.758,5.0,39.0,14.0,99.0,94.1,4.9,89.9,0.4461428571428571,0.5,18.1,5.3,3.9,2.1,0.8,2.7,0.423,0.297,0.745,38.1,0.7217847769028872,20.3,10.4,2.0,0.8,2.6,2.4,0.434,0.091,0.758,36.3,0.9283746556473831,13.5,6.6,1.7,0.9,0.3,2.2,0.452,0.276,0.738,31.2,0.6666666666666667,10.4,2.5,3.2,0.8,0.2,0.8,0.447,0.425,0.858,29.2,0.5582191780821918,7.2,2.6,5.0,1.3,0.4,2.4,0.385,0.355,0.686,24.8,0.5685483870967741,6.5,2.2,3.0,0.7,0.1,1.1,0.424,0.0,0.703,23.9,0.47698744769874474,7.0,1.9,2.8,1.0,0.2,1.1,0.409,0.333,0.851,23.2,0.5086206896551724,5.5,7.0,0.9,0.9,0.3,0.7,0.529,0.0,0.679,22.9,0.6069868995633189
2003-04,LAC,1610612746,0,Missed Playoffs,0.431,96.4,44.7,20.2,7.2,4.6,16.4,0.43,0.342,0.785,-2.2,22.0,29.0,101.4,104.8,-3.4,93.9,0.5523333333333333,0.5,20.1,11.7,3.6,0.9,2.1,2.9,0.515,0.0,0.772,38.9,0.9125964010282777,20.4,5.8,3.0,0.8,0.2,2.7,0.458,0.328,0.849,35.6,0.7724719101123595,17.7,6.0,2.0,1.0,0.3,2.2,0.402,0.384,0.753,35.5,0.6985915492957747,9.1,3.2,4.7,1.7,0.3,2.0,0.402,0.356,0.731,30.5,0.5573770491803278,6.8,4.3,1.6,0.9,0.3,1.2,0.395,0.25,0.814,22.7,0.5594713656387665,6.3,5.8,0.9,0.3,0.9,1.9,0.446,0.0,0.707,22.1,0.5565610859728507,8.9,4.8,0.9,0.4,0.3,1.3,0.527,0.0,0.728,21.2,0.6603773584905661,7.6,2.4,2.2,1.1,0.1,0.9,0.373,0.404,0.8,19.0,0.6578947368421052
2003-04,LAL,1610612747,4,Finals Loss,0.62,97.2,42.4,23.5,8.3,4.4,13.3,0.447,0.337,0.697,3.1,31.0,19.0,101.6,98.7,2.9,94.9,0.5523333333333333,0.5,21.5,4.7,4.3,1.7,0.3,2.4,0.423,0.356,0.851,36.4,0.826923076923077,20.8,10.9,3.1,0.4,2.3,2.8,0.563,0.0,0.518,35.0,0.9914285714285715,14.9,3.8,5.9,1.3,0.3,1.9,0.466,0.368,0.692,34.1,0.712609970674487,14.0,9.5,3.7,1.1,0.5,2.0,0.506,0.0,0.738,32.5,0.8246153846153846,9.5,4.8,1.6,1.3,0.6,1.3,0.433,0.359,0.773,28.2,0.5851063829787234,10.4,5.5,1.0,0.5,0.3,0.9,0.464,0.0,0.708,24.8,0.6774193548387097,8.3,2.1,2.4,1.3,0.0,1.1,0.36,0.278,0.788,23.1,0.5627705627705628,4.2,4.7,1.5,0.4,0.4,0.6,0.413,0.0,0.714,21.3,0.4976525821596245
2003-04,MEM,1610612763,1,First Round Exit,0.577,96.5,42.0,24.0,9.5,7.3,15.2,0.445,0.336,0.727,2.1,30.0,22.0,101.7,99.2,2.5,93.9,0.5523333333333333,0.5,17.6,7.9,2.4,0.6,1.7,2.4,0.483,0.308,0.707,32.1,0.8660436137071651,10.7,2.0,7.1,1.3,0.1,1.9,0.402,0.323,0.875,29.4,0.6564625850340137,11.7,4.4,1.5,1.5,0.5,1.3,0.47,0.397,0.864,28.5,0.6421052631578947,11.7,3.2,3.9,1.0,0.2,1.7,0.443,0.38,0.705,27.7,0.6606498194945848,9.6,7.1,1.2,0.7,1.0,1.4,0.45,0.0,0.747,26.2,0.6946564885496184,12.2,3.6,2.1,1.2,0.3,2.4,0.412,0.255,0.75,25.8,0.6589147286821705,8.5,4.0,1.2,1.3,0.8,0.6,0.466,0.339,0.747,24.0,0.6333333333333334,5.9,2.3,5.0,1.2,0.3,1.9,0.356,0.232,0.693,21.6,0.5925925925925926
2003-04,MIA,1610612748,1,First Round Exit,0.407,86.9,41.2,18.5,6.8,3.7,14.2,0.419,0.343,0.747,-2.7,22.0,32.0,97.1,100.0,-2.9,89.2,0.4461428571428571,0.5,17.2,9.8,4.4,1.1,0.9,3.2,0.419,0.29,0.744,38.6,0.7823834196891192,17.8,3.7,3.0,1.2,0.4,1.8,0.408,0.369,0.837,37.9,0.6411609498680738,16.3,4.3,4.4,1.3,0.7,3.0,0.472,0.31,0.706,36.2,0.6629834254143646,9.5,2.5,4.4,1.1,0.2,1.6,0.369,0.352,0.736,31.7,0.5078864353312302,9.1,7.7,1.1,0.8,0.4,1.2,0.458,0.0,0.783,31.1,0.5755627009646302,7.6,3.9,1.7,0.9,0.2,1.4,0.342,0.095,0.713,29.2,0.4417808219178082,6.9,6.1,0.7,0.4,0.3,1.1,0.467,0.0,0.739,24.3,0.5473251028806585,4.8,3.0,0.4,0.4,0.5,0.6,0.413,0.0,0.704,15.5,0.5483870967741935
