SEASON,TEAM,TEAM_ID,PLAYOFF_RESULT,PLAYOFF_LABEL,TEAM_W_PCT,TEAM_PTS,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_FG_PCT,TEAM_FG3_PCT,TEAM_FT_PCT,TEAM_PLUS_MINUS,TEAM_W,TEAM_L,TEAM_E_OFF_RATING,TEAM_E_DEF_RATING,TEAM_E_NET_RATING,TEAM_E_PACE,CONF_STRENGTH,ROSTER_CONTINUITY,P1_PTS,P1_REB,P1_AST,P1_STL,P1_BLK,P1_TOV,P1_FG_PCT,P1_FG3_PCT,P1_FT_PCT,P1_MIN,P1_PER_APPROX,P2_PTS,P2_REB,P2_AST,P2_STL,P2_BLK,P2_TOV,P2_FG_PCT,P2_FG3_PCT,P2_FT_PCT,P2_MIN,P2_PER_APPROX,P3_PTS,P3_REB,P3_AST,P3_STL,P3_BLK,P3_TOV,P3_FG_PCT,P3_FG3_PCT,P3_FT_PCT,P3_MIN,P3_PER_APPROX,P4_PTS,P4_REB,P4_AST,P4_STL,P4_BLK,P4_TOV,P4_FG_PCT,P4_FG3_PCT,P4_FT_PCT,P4_MIN,P4_PER_APPROX,P5_PTS,P5_REB,P5_AST,P5_STL,P5_BLK,P5_TOV,P5_FG_PCT,P5_FG3_PCT,P5_FT_PCT,P5_MIN,P5_PER_APPROX,P6_PTS,P6_REB,P6_AST,P6_STL,P6_BLK,P6_TOV,P6_FG_PCT,P6_FG3_PCT,P6_FT_PCT,P6_MIN,P6_PER_APPROX,P7_PTS,P7_REB,P7_AST,P7_STL,P7_BLK,P7_TOV,P7_FG_PCT,P7_FG3_PCT,P7_FT_PCT,P7_MIN,P7_PER_APPROX,P8_PTS,P8_REB,P8_AST,P8_STL,P8_BLK,P8_TOV,P8_FG_PCT,P8_FG3_PCT,P8_FT_PCT,P8_MIN,P8_PER_APPROX
2003-04,ATL,1610612737,0,Missed Playoffs,0.341,92.8,42.7,20.1,7.6,5.0,16.5,0.433,0.335,0.776,-4.6,28.0,54.0,98.2,103.1,-4.9,93.5,0.4511428571428571,0.5,16.8,4.1,5.4,1.5,0.2,2.8,0.417,0.347,0.827,37.2,0.6774193548387095,18.1,4.6,3.1,1.8,0.3,2.8,0.425,0.34,0.785,36.8,0.6820652173913045,11.3,5.6,0.9,0.6,0.6,1.6,0.479,0.25,0.788,27.3,0.6373626373626373,4.5,4.5,2.4,0.8,0.5,1.7,0.447,0.231,0.602,25.2,0.4365079365079365,10.2,3.1,0.8,0.7,0.4,1.0,0.448,0.389,0.866,21.6,0.6574074074074073,7.5,4.1,2.9,0.8,0.2,1.3,0.416,0.266,0.757,20.7,0.6859903381642511,2.9,6.5,0.4,0.3,1.0,1.1,0.36,0.0,0.419,20.3,0.4926108374384237,3.8,1.6,2.7,0.6,0.0,1.2,0.386,0.15,0.779,17.8,0.4213483146067416
2003-04,BOS,1610612738,1,First Round Exit,0.439,95.3,40.1,20.5,9.4,4.0,16.2,0.443,0.346,0.75,-1.5,36.0,46.0,99.9,101.4,-1.5,95.2,0.4511428571428571,0.5,23.0,6.5,5.1,1.6,0.7,3.8,0.402,0.299,0.819,38.7,0.8552971576227392,14.4,4.5,3.3,1.2,0.3,2.4,0.469,0.371,0.718,31.3,0.6805111821086262,10.3,7.2,0.9,1.0,1.3,1.8,0.566,0.0,0.719,29.3,0.6450511945392491,9.2,3.7,2.3,1.2,0.1,1.6,0.428,0.381,0.743,27.0,0.5518518518518518,7.9,3.1,1.6,0.9,0.3,1.2,0.388,0.374,0.756,24.7,0.5101214574898786,8.4,1.5,3.5,0.7,0.0,1.4,0.397,0.336,0.753,24.0,0.5291666666666667,7.8,4.6,1.4,0.5,0.8,0.6,0.46,0.2,0.769,19.4,0.7474226804123711,6.3,5.4,0.3,0.5,0.8,1.2,0.488,0.0,0.663,17.5,0.6914285714285715
2003-04,CHI,1610612741,0,Missed Playoffs,0.28,89.7,43.5,21.9,8.0,4.8,16.1,0.414,0.342,0.725,-6.4,23.0,59.0,93.9,100.5,-6.7,94.8,0.4511428571428571,0.5,12.0,3.4,6.8,1.3,0.3,2.7,0.386,0.39,0.804,35.6,0.5926966292134832,17.3,3.5,5.1,1.4,0.4,2.4,0.386,0.317,0.833,35.2,0.7187499999999999,8.9,8.4,1.7,0.5,0.8,1.4,0.403,0.0,0.765,32.2,0.5869565217391305,14.7,6.2,0.9,0.3,1.1,2.4,0.496,1.0,0.671,29.6,0.7027027027027027,9.6,3.4,1.6,1.2,0.3,1.5,0.392,0.237,0.735,25.2,0.5793650793650793,6.2,7.0,1.1,1.3,0.1,1.1,0.47,0.0,0.684,23.9,0.6108786610878661,6.1,7.7,0.7,0.5,1.2,1.1,0.424,0.0,0.669,22.5,0.6711111111111111,6.7,2.0,1.1,0.6,0.2,0.9,0.482,0.2,0.651,20.1,0.4825870646766168
2003-04,CLE,1610612739,0,Missed Playoffs,0.427,92.9,45.6,22.0,7.1,6.5,14.8,0.433,0.314,0.753,-2.6,35.0,47.0,98.4,101.2,-2.8,93.6,0.4511428571428571,0.5,20.9,5.5,5.9,1.6,0.7,3.5,0.417,0.29,0.754,39.6,0.7853535353535354,15.5,11.4,2.0,1.0,0.7,1.8,0.523,0.167,0.768,34.6,0.8323699421965317,11.8,2.5,6.1,1.0,0.1,1.7,0.447,0.362,0.797,34.0,0.5823529411764706,15.3,8.1,1.3,0.5,2.5,2.0,0.483,0.286,0.746,31.4,0.8184713375796179,10.0,4.0,1.7,1.0,0.1,1.2,0.386,0.276,0.76,26.5,0.588679245283019,3.8,1.8,4.8,1.0,0.5,1.3,0.304,0.0,0.5,22.8,0.4649122807017543,5.6,4.9,0.8,0.4,0.9,0.9,0.443,0.222,0.742,20.2,0.5792079207920793,4.0,2.4,1.1,0.4,0.3,0.8,0.391,0.105,0.783,19.5,0.3794871794871795
2003-04,DAL,1610612742,1,First Round Exit,0.634,105.2,45.3,23.9,8.0,5.3,12.2,0.459,0.348,0.796,4.4,52.0,30.0,109.6,105.0,4.6,95.4,0.5454666666666667,0.5,18.6,4.5,2.9,1.2,0.5,1.2,0.443,0.405,0.85,38.6,0.6865284974093264,21.8,8.7,2.7,1.2,1.4,1.8,0.462,0.341,0.877,37.9,0.8970976253298155,14.0,8.3,4.5,0.8,0.8,2.5,0.428,0.269,0.554,34.6,0.7485549132947977,14.5,3.0,8.8,0.9,0.1,2.7,0.47,0.405,0.916,33.5,0.7343283582089553,14.8,6.3,0.9,1.0,0.4,1.0,0.535,0.4,0.748,29.0,0.7724137931034483,8.6,5.5,1.4,1.0,0.8,1.0,0.43,0.303,0.703,23.7,0.6877637130801688,8.5,2.6,2.1,0.9,0.2,0.8,0.494,0.306,0.769,18.5,0.7297297297297296,6.0,1.8,0.8,0.8,0.2,0.5,0.38,0.303,0.841,15.6,0.5833333333333334
2003-04,DEN,1610612743,1,First Round Exit,0.524,97.2,42.3,21.9,9.1,6.3,15.6,0.443,0.336,0.767,1.1,43.0,39.0,100.8,99.7,1.1,96.2,0.5454666666666667,0.5,21.0,6.1,2.8,1.2,0.5,3.0,0.426,0.322,0.777,36.5,0.7835616438356164,14.8,4.5,6.1,1.7,0.3,2.6,0.457,0.185,0.832,34.7,0.7146974063400575,11.8,6.5,2.2,1.5,0.5,2.4,0.53,0.0,0.682,32.6,0.6165644171779141,14.2,2.7,2.1,0.8,0.2,1.4,0.422,0.367,0.791,30.7,0.6058631921824105,8.6,10.1,1.8,1.2,2.6,1.4,0.477,0.0,0.721,30.1,0.760797342192691,10.2,1.7,3.6,0.6,0.0,1.2,0.419,0.322,0.877,22.4,0.6651785714285714,6.2,2.2,2.6,1.0,0.1,0.9,0.404,0.37,0.845,19.1,0.5863874345549738,3.4,4.2,0.5,0.5,1.6,0.7,0.443,0.0,0.589,14.5,0.6551724137931034
2003-04,DET,1610612765,5,Champion,0.659,90.1,42.8,20.8,8.0,7.0,15.1,0.435,0.344,0.753,5.8,54.0,28.0,99.1,92.7,6.4,90.4,0.4511428571428571,0.5,9.5,12.4,1.7,1.8,3.0,1.5,0.421,0.125,0.49,37.8,0.7116402116402116,17.6,3.6,4.0,1.3,0.2,2.7,0.455,0.265,0.868,35.7,0.6722689075630253,16.9,3.5,5.7,1.1,0.1,2.4,0.394,0.388,0.878,35.5,0.7014084507042254,16.0,6.8,2.3,0.9,1.8,1.8,0.436,0.331,0.736,35.2,0.7386363636363635,10.3,4.8,2.3,0.8,0.8,1.5,0.467,0.363,0.766,32.9,0.5319148936170214,9.3,2.9,4.2,1.2,0.0,1.5,0.414,0.377,0.811,27.1,0.5940959409594097,9.6,5.9,1.0,0.5,0.9,1.4,0.463,0.375,0.775,22.4,0.7366071428571429,9.5,3.2,0.7,0.4,0.3,1.4,0.505,0.0,0.731,19.9,0.6381909547738693
2003-04,GSW,1610612744,0,Missed Playoffs,0.451,93.3,43.1,20.5,7.0,4.7,14.8,0.442,0.334,0.725,-0.7,37.0,45.0,100.5,101.3,-0.8,92.0,0.5454666666666667,0.5,18.7,6.7,2.9,1.1,0.5,2.5,0.438,0.282,0.684,37.7,0.7267904509283819,11.8,3.9,3.3,0.8,0.9,2.1,0.387,0.357,0.711,34.7,0.5360230547550431,12.3,12.0,0.8,0.4,1.9,1.8,0.535,0.0,0.654,32.5,0.7876923076923076,12.6,2.7,5.3,0.5,0.1,2.0,0.39,0.307,0.707,32.2,0.5962732919254659,11.7,5.9,2.9,0.9,0.2,1.9,0.449,0.37,0.741,31.2,0.6314102564102564,10.6,2.6,4.5,1.6,0.2,1.7,0.427,0.182,0.813,26.6,0.6691729323308271,7.6,3.3,1.7,0.8,0.2,1.1,0.481,0.0,0.61,26.1,0.478927203065134,10.0,6.2,0.7,0.4,0.6,1.2,0.44,0.294,0.75,21.9,0.7625570776255708
2003-04,HOU,1610612745,1,First Round Exit,0.549,89.8,42.6,19.3,6.8,5.4,16.7,0.442,0.366,0.773,1.7,45.0,37.0,98.1,96.2,1.9,90.3,0.5454666666666667,0.5,16.6,5.5,6.2,1.8,0.4,3.7,0.403,0.292,0.775,40.5,0.6617283950617284,15.8,4.5,3.2,1.3,0.4,2.3,0.426,0.39,0.811,40.4,0.5668316831683168,12.9,6.1,2.8,1.1,0.3,2.2,0.424,0.4,0.843,39.0,0.5384615384615385,17.5,9.0,1.5,0.3,1.9,2.5,0.522,0.0,0.809,32.9,0.8419452887537994,11.5,5.1,1.4,0.6,0.6,2.0,0.48,0.0,0.736,27.7,0.6209386281588449,6.1,6.8,1.0,0.8,1.4,1.2,0.447,0.0,0.676,25.3,0.5889328063241106,5.0,3.9,0.6,0.6,0.3,0.7,0.493,0.0,0.736,16.8,0.5773809523809524,4.1,1.5,0.5,0.3,0.1,0.6,0.377,0.352,0.875,14.3,0.4125874125874125
2003-04,IND,1610612754,3,Conference Finals,0.744,91.4,41.7,21.6,8.9,5.0,14.4,0.435,0.351,0.764,5.8,61.0,21.0,100.9,94.6,6.4,90.0,0.4511428571428571,0.5,18.3,5.3,3.7,2.1,0.7,2.8,0.421,0.31,0.733,37.2,0.7338709677419355,20.1,10.0,2.1,0.8,2.6,2.3,0.434,0.111,0.757,35.8,0.9301675977653632,13.3,6.4,1.7,1.0,0.3,2.1,0.463,0.273,0.734,30.9,0.6666666666666667,10.0,2.4,3.1,0.8,0.1,0.9,0.438,0.401,0.885,28.3,0.5477031802120141,8.3,2.6,5.8,1.6,0.3,2.1,0.414,0.372,0.731,26.5,0.6226415094339622,6.1,7.4,0.8,0.9,0.3,0.7,0.544,0.0,0.669,23.8,0.6218487394957984,6.2,1.8,2.8,0.9,0.1,1.0,0.406,0.336,0.798,22.0,0.4909090909090909,6.0,1.8,2.8,0.6,0.1,1.1,0.441,0.25,0.729,20.7,0.4927536231884057
